INFO -- 2010-10-06 00:54:03,401 --En user funcion:__init__ linea:341 -- El usuario root se ha autenticado
INFO -- 2010-10-06 01:07:22,883 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 01:07:25,058 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 01:07:26,494 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 01:07:28,323 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 01:07:28,326 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 01:07:32,313 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 01:07:33,141 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 01:07:33,737 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 01:07:33,758 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 01:07:33,759 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 01:07:34,455 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 01:07:35,320 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 01:07:35,322 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
INFO -- 2010-10-06 01:24:26,929 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
INFO -- 2010-10-06 02:02:41,355 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:02:44,861 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:02:45,897 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:02:46,536 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:02:46,542 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:02:49,639 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:02:50,436 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:02:50,952 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:02:50,961 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:02:50,962 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:02:51,650 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:02:52,472 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:02:52,474 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:03:45,750 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:03:46,501 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:03:47,026 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:03:47,027 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:04:03,775 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:04:04,298 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:04:04,776 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:04:04,777 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
INFO -- 2010-10-06 02:06:33,006 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:06:34,965 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
